<ÒÈÊÅÐ>;<ÏÅÐÈÎÄ>;<ÄÀÒÀ>;<ÂÐÅÌß>;<ÖÅÍÀ_CLOSE>;<ÎÁÚÅÌ>
SBERP;D;20180531;0;196;4376500
SBERP;D;20180601;0;196.02;3050100
SBERP;D;20180604;0;195.39;8052100
SBERP;D;20180605;0;191.3;5361700
SBERP;D;20180606;0;193.1;3054800
SBERP;D;20180607;0;192.5;2813200
SBERP;D;20180608;0;189.32;6359500
SBERP;D;20180609;0;189.21;187270
SBERP;D;20180611;0;188;4189600
SBERP;D;20180613;0;190.14;3964900
SBERP;D;20180614;0;189.26;3282400
SBERP;D;20180615;0;187.45;7695900
SBERP;D;20180618;0;185;7750600
SBERP;D;20180619;0;183.5;7832400
SBERP;D;20180620;0;188.44;5612100
SBERP;D;20180621;0;186.43;8522700
SBERP;D;20180622;0;191.5;9887900
SBERP;D;20180625;0;179.9;7669600
SBERP;D;20180626;0;178.27;3381100
SBERP;D;20180627;0;183.66;7883100
SBERP;D;20180628;0;182.91;4777200
SBERP;D;20180629;0;186.5;7640500
SBERP;D;20180702;0;185.75;7394100
SBERP;D;20180703;0;183.5;4228900
SBERP;D;20180704;0;183.43;2074200
SBERP;D;20180705;0;186.5;4945300
SBERP;D;20180706;0;188;5158700
SBERP;D;20180709;0;192.21;5147100
SBERP;D;20180710;0;195.05;7076700
SBERP;D;20180711;0;191.5;7064700
SBERP;D;20180712;0;192.61;5470900
SBERP;D;20180713;0;192.46;3436000
SBERP;D;20180716;0;191.06;3531100
SBERP;D;20180717;0;186.95;4632000
SBERP;D;20180718;0;184.5;3912200
SBERP;D;20180719;0;177.25;8976300
SBERP;D;20180720;0;174.1;11866100
SBERP;D;20180723;0;179.45;4553700
SBERP;D;20180724;0;184;4026400
SBERP;D;20180725;0;182.13;3963500
SBERP;D;20180726;0;179.47;2838600
SBERP;D;20180727;0;179.85;2931500
SBERP;D;20180730;0;180.5;2368200
SBERP;D;20180731;0;182.42;1890500
SBERP;D;20180801;0;180.36;1309800
SBERP;D;20180802;0;177.48;2875000
SBERP;D;20180803;0;175;6602300
SBERP;D;20180806;0;177.78;2747500
SBERP;D;20180807;0;176.65;2960900
